"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16895","ONEVIEW-853: Verify Remove button removes a card from the dashboard layout @smoke","smoke","Mon May 18 11:43:14 IST 2026","passed","Mon May 18 11:43:31 IST 2026","Phase-2 > Remove Cards > Smoke - Remove Cards","smokePhase-2\RemoveCards.spec.js","",""
"","24237","ONEVIEW-784: Verify fixed cards are excluded from Add Cards panel @regression","chromium","Mon May 18 11:45:08 IST 2026","passed","Mon May 18 11:45:32 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","23267","ONEVIEW-828: Verify Revert to Preferred Layout discards unsaved changes @regression","chromium","Mon May 18 11:50:56 IST 2026","passed","Mon May 18 11:51:19 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","25003","ONEVIEW-796: Verify removed card does not appear in any column after layout changes @regression","chromium","Mon May 18 11:53:09 IST 2026","passed","Mon May 18 11:53:34 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","14367","ONEVIEW-711: Verify visual distinction between view mode and Edit Mode @regression","chromium","Mon May 18 11:47:09 IST 2026","passed","Mon May 18 11:47:24 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","17697","ONEVIEW-731: Verify card list item layout in Add Cards drawer @regression","chromium","Mon May 18 11:48:29 IST 2026","passed","Mon May 18 11:48:46 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","16673","ONEVIEW-719: Verify confirmation popup visual design @regression","chromium","Mon May 18 11:47:39 IST 2026","passed","Mon May 18 11:47:55 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","17132","ONEVIEW-773: Verify newly added card appears in leftmost column @regression","chromium","Mon May 18 11:44:09 IST 2026","passed","Mon May 18 11:44:26 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","807","ONEVIEW-839: Verify card can be dragged and dropped to a different column @regression","chromium","Mon May 18 11:45:30 IST 2026","skipped","Mon May 18 11:45:31 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","28039","ONEVIEW-833: Verify Preferred Layout is user-specific @regression","chromium","Mon May 18 11:51:32 IST 2026","passed","Mon May 18 11:52:00 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","17898","ONEVIEW-854: Verify Remove button changes back to Add after removing @smoke","smoke","Mon May 18 11:43:31 IST 2026","passed","Mon May 18 11:43:49 IST 2026","Phase-2 > Remove Cards > Smoke - Remove Cards","smokePhase-2\RemoveCards.spec.js","",""
